~	@	0.4519774011299435
@	~	0.23625
~	O	0.054613935969868174
O	V	0.5908667287977633
V	O	0.12259414225941423
O	^	0.010251630941286114
^	,	0.25325325325325326
,	$	0.01870657402458578
$	R	0.02214022140221402
R	A	0.16260162601626016
@	O	0.08875
V	A	0.05146443514644351
A	,	0.14883148831488316
@	!	0.12625
!	,	0.3090909090909091
,	O	0.07482629609834313
V	V	0.15439330543933055
V	P	0.1619246861924686
P	O	0.12839325018341893
P	V	0.1533382245047689
V	T	0.03430962343096234
T	N	0.06766917293233082
N	&	0.034818941504178275
&	V	0.19272727272727272
V	D	0.15481171548117154
D	N	0.5712918660287082
N	,	0.29480037140204274
,	!	0.05986103687867451
!	R	0.022727272727272728
R	O	0.07588075880758807
P	N	0.123991195891416
V	N	0.06234309623430962
N	V	0.11002785515320335
N	N	0.1374187558031569
A	P	0.11685116851168512
V	R	0.0694560669456067
R	P	0.1111111111111111
P	$	0.03521643433602348
$	N	0.24354243542435425
,	&	0.02779262426509888
$	,	0.1881918819188192
,	R	0.043826830571886695
D	P	0.013397129186602871
P	,	0.02714600146735143
^	^	0.23923923923923923
^	V	0.12512512512512514
P	^	0.13939838591342626
^	P	0.062062062062062065
P	D	0.24358033749082905
D	$	0.014354066985645933
,	^	0.060929983965793695
#	#	0.26288659793814434
#	$	0.015463917525773196
,	V	0.10261892036344201
R	,	0.14769647696476965
,	A	0.03099946552645644
A	N	0.45510455104551045
,	N	0.06413682522715125
,	G	0.017637626937466594
G	N	0.06451612903225806
N	~	0.005571030640668524
~	U	0.07344632768361582
L	N	0.03859649122807018
,	P	0.03099946552645644
D	D	0.009569377990430622
D	V	0.028708133971291867
,	D	0.03527525387493319
N	P	0.19545032497678738
R	V	0.24661246612466126
O	P	0.045666356011183594
R	&	0.009485094850948509
&	R	0.06181818181818182
R	R	0.08536585365853659
V	!	0.004602510460251046
O	,	0.09599254426840634
,	L	0.04275788348476751
L	R	0.1824561403508772
R	D	0.04200542005420054
D	^	0.08708133971291866
^	N	0.11311311311311312
!	E	0.029545454545454545
@	E	0.01
E	!	0.04838709677419355
@	A	0.0225
N	A	0.014391829155060354
!	P	0.031818181818181815
O	D	0.022367194780987885
L	V	0.3263157894736842
!	O	0.08863636363636364
V	,	0.07782426778242678
~	~	0.03389830508474576
~	#	0.022598870056497175
#	~	0.030927835051546393
~	X	0.007532956685499058
X	V	0.22727272727272727
P	R	0.018341892883345562
D	~	0.003827751196172249
V	^	0.03305439330543933
O	~	0.0065237651444548
,	U	0.052378407268840195
$	P	0.13653136531365315
P	U	0.0022010271460014674
U	$	0.010638297872340425
P	Z	0.00880410858400587
Z	N	0.25806451612903225
~	A	0.018832391713747645
V	Z	0.0033472803347280333
P	G	0.007336757153338224
G	V	0.06451612903225806
~	P	0.01694915254237288
N	O	0.025069637883008356
N	U	0.017177344475394613
U	~	0.0425531914893617
~	,	0.032015065913371
G	,	0.0967741935483871
N	@	0.009749303621169917
D	A	0.1799043062200957
!	!	0.08181818181818182
!	A	0.020454545454545454
A	A	0.03198031980319803
A	!	0.012300123001230012
!	V	0.04090909090909091
O	R	0.08201304753028892
P	@	0.02714600146735143
@	,	0.05125
~	V	0.04143126177024482
N	D	0.01160631383472609
N	G	0.012999071494893221
G	@	0.03225806451612903
@	P	0.02625
T	R	0.06015037593984962
N	E	0.013927576601671309
G	^	0.06989247311827956
^	U	0.021021021021021023
^	!	0.01001001001001001
@	@	0.0975
N	!	0.012070566388115135
V	$	0.011297071129707114
,	~	0.02351683591662213
N	R	0.034354688950789226
R	U	0.005420054200542005
U	,	0.03900709219858156
V	@	0.008786610878661089
Z	A	0.14516129032258066
!	N	0.03636363636363636
T	,	0.18045112781954886
,	,	0.026189203634420097
L	D	0.09824561403508772
D	R	0.016267942583732056
&	$	0.03272727272727273
N	$	0.0064995357474466105
@	V	0.07625
V	L	0.009205020920502092
L	T	0.014035087719298246
&	L	0.05454545454545454
T	V	0.05263157894736842
O	N	0.02050326188257223
&	N	0.15636363636363637
,	#	0.02244788882950294
~	$	0.009416195856873822
$	&	0.01107011070110701
L	A	0.14385964912280702
@	L	0.03125
^	Z	0.011011011011011011
Z	,	0.06451612903225806
^	R	0.01901901901901902
Z	^	0.11290322580645161
@	D	0.0175
R	E	0.012195121951219513
,	Z	0.002137894174238375
^	~	0.005005005005005005
,	E	0.025654730090860504
G	!	0.021505376344086023
$	A	0.055350553505535055
@	N	0.0425
G	U	0.07526881720430108
&	!	0.014545454545454545
^	E	0.006006006006006006
~	D	0.02071563088512241
D	S	0.0066985645933014355
S	N	0.30952380952380953
P	P	0.020542920029347028
~	L	0.015065913370998116
A	O	0.014760147601476014
G	A	0.043010752688172046
A	V	0.01845018450184502
P	A	0.03301540719002201
~	^	0.04519774011299435
~	&	0.003766478342749529
