~	rt	0.4277227722772277
@	@user	0.9987080103359173
~	:	0.3722772277227723
O	i	0.3113658070678128
V	see	0.018330513254371125
O	u	0.06017191977077364
^	bron	0.0003554468678022009
,	...	0.05203252032520325
$	31	0.0052478134110787176
R	right	0.015215355805243446
A	quick	0.00043945337023067535
V	am	0.004230118443316413
A	secure	0.00043945337023067535
,	.	0.25365853658536586
!	hahaaha	0.0008353859960665254
,	!!	0.06070460704607046
V	dont	0.007106598984771574
V	care	0.001914685190132692
P	if	0.037397157816005985
O	she	0.014326647564469915
V	realises	0.0001462985627629194
V	will	0.01015228426395939
V	be	0.0266497461928934
P	like	0.031413612565445025
V	shut	0.0008648242150780222
T	up	0.08644859813084112
N	teacher	0.000960735171261487
&	and	0.5421686746987951
V	go	0.002284263959390863
V	do	0.004794134235758601
D	your	0.038272816486751716
N	work	0.002237737200143215
!	hehe	0.0031055900621118015
R	then	0.014044943820224719
P	in	0.08975317875841436
N	trouble	0.0006041890440386681
V	getting	0.001914685190132692
N	insulation	0.0001625234033700853
V	put	0.004230118443316413
N	attic	0.0001625234033700853
N	today	0.004699248120300752
O	they	0.016714422158548233
V	was	0.0064861816130851666
A	sposed	0.00043945337023067535
$	2	0.06938775510204082
R	here	0.03202247191011236
P	at	0.050860134629768135
$	7:30	0.001411631846414455
N	am	0.000960735171261487
,	,	0.13062330623306234
&	but	0.03714859437751004
V	got	0.008460236886632826
$	8:30	0.0052478134110787176
,	!	0.13658536585365855
R	where	0.016853932584269662
D	dat	0.0024320518837735203
,	?	0.06937669376693767
^	andrew	0.0003554468678022009
^	mcnulty	0.0003554468678022009
V	passes	0.0001462985627629194
P	to	0.193717277486911
^	connor	0.0003554468678022009
^	alberhasky	0.0003554468678022009
P	for	0.09648466716529544
D	a	0.20215897939156036
$	29	0.0052478134110787176
N	yard	0.000960735171261487
N	gain	0.0001625234033700853
^	city	0.0013213918660989576
^	high	0.0003554468678022009
P	on	0.07404637247569185
D	the	0.28949950932286556
N	line	0.0006041890440386681
#	#	1.0
$	#	0.008344671201814058
,	:	0.05582655826558266
V	speak	0.0008648242150780222
R	now	0.012991573033707866
,	(	0.027642276422764227
A	deluxe	0.0016336903249228537
N	cd+dvd	0.0006041890440386681
,	):	0.0006968641114982578
,	)	0.023848238482384824
^	taylor	0.0003554468678022009
^	swift	0.0003554468678022009
N	performer	0.0001625234033700853
G	|	0.06770833333333334
N	format	0.0001625234033700853
N	audio	0.000960735171261487
~	...	0.24554455445544554
U	http	0.96875
L	its	0.11196911196911197
N	#	0.0025375939849624062
!	oh	0.032206119162640906
,	..	0.025474254742547425
D	those	0.0020063242830661867
D	that	0.0173372587504089
V	are	0.02284263959390863
A	confused	0.0025977693067909076
N	rice	0.0001625234033700853
V	absorbs	0.0001462985627629194
N	water	0.000960735171261487
P	from	0.031413612565445025
D	ur	0.005012863697848978
N	phone	0.005169172932330827
R	like	0.0034807034684904738
V	drys	0.0001462985627629194
O	it	0.10219675262655205
P	out	0.008975317875841436
V	don't	0.03468697123519458
V	ask	0.0036826913506519355
R	how	0.015917602996254682
&	or	0.060240963855421686
R	why	0.026334269662921347
R	just	0.0800561797752809
V	know	0.002284263959390863
V	does	0.0036826913506519355
!	lol	0.18115942028985507
V	told	0.0036826913506519355
O	you	0.15759312320916904
L	it's	0.16731016731016732
R	not	0.20224719101123595
R	even	0.020224719101123598
D	my	0.12266928361138371
^	halloween	0.011133949982870846
N	costume	0.0011645962732919255
!	trololol	0.0008353859960665254
E	<333	0.0021615612648221345
E	-__-	0.008035714285714287
!	boof	0.0008353859960665254
A	good	0.014400677678949599
N	mawnin	0.0001625234033700853
A	gorgeous	0.00043945337023067535
!	yoooo	0.0008353859960665254
^	kobe	0.0025470306984226284
N	fan	0.000960735171261487
V	tweet	0.0008648242150780222
O	me	0.09169054441260745
L	what's	0.04182754182754183
V	#	0.002160790231856222
X	there	0.28378378378378377
D	no	0.010631337912986588
N	excuses	0.0001625234033700853
^	us	0.0021011762018956263
N	soldiers	0.0001625234033700853
V	have	0.024111675126903553
N	ballets	0.0001625234033700853
V	vote	0.001914685190132692
V	is	0.051607445008460234
A	same	0.007032889099021896
L	itd	0.001335327422283944
O	this	0.00122799836266885
A	random	0.0016336903249228537
N	chick	0.0011645962732919255
V	love	0.002284263959390863
^	rdj	0.0003554468678022009
!	no	0.011502185415228893
!	yeah	0.013369284350073026
O	yo	0.00033032454858790975
N	photo	0.0024004267425320057
,	-	0.008310749774164409
$	$20	0.001411631846414455
N	advance	0.0001625234033700853
P	via	0.012565445026178011
$	$25	0.0052478134110787176
N	door-	0.0001625234033700853
V	party	0.0001462985627629194
P	with	0.053103964098728494
Z	chicago's	0.009606938954765042
N	elite-	0.0001625234033700853
N	network	0.0001625234033700853
N	opportunities	0.0001625234033700853
V	please	0.009644670050761422
P	over	0.0038205745012027735
R	soon	0.006357185097575399
N	thanks	0.007048872180451127
A	first	0.01397712833545108
N	time	0.005639097744360902
V	seeing	0.0010483337011697198
Z	ye's	0.009606938954765042
N	film	0.0001625234033700853
G	vh1«-what	0.0021615612648221345
V	think	0.004441624365482234
P	about	0.013089005235602094
V	r	0.0036826913506519355
N	scuba	0.0001625234033700853
N	diver	0.0001625234033700853
V	must	0.0010483337011697198
V	read	0.0036826913506519355
^	barracuda	0.0003554468678022009
D	this	0.07360157016683022
N	novel	0.0001625234033700853
V	has	0.009644670050761422
A	more	0.01905972045743329
N	thrills	0.0001625234033700853
P	than	0.012715033657442034
^	jaws	0.0003554468678022009
$	57	0.001411631846414455
N	reviews	0.0001625234033700853
N	4stars	0.0001625234033700853
,	[	0.0025809781907342884
G	sds]	0.0021615612648221345
A	favorite	0.0025977693067909076
N	song	0.0021270280965571824
A	new	0.011753494282083863
N	album	0.0011645962732919255
,	*	0.011924119241192412
N	cousin	0.0006041890440386681
R	deff	0.0004857441044544122
V	losing	0.0001462985627629194
D	ha	0.00033940117995244506
A	fckn	0.00043945337023067535
N	mind	0.004091110128261831
G	smh	0.06875
!	ya	0.0049382716049382715
V	bet	0.001914685190132692
V	should	0.006091370558375634
N	lots	0.0006041890440386681
P	of	0.0912490650710546
N	fun	0.0011645962732919255
E	:-)	0.0021615612648221345
!	ohhhhh	0.0008353859960665254
A	tru	0.0016336903249228537
!	hahaha	0.012338425381903642
V	gotta	0.002160790231856222
V	stay	0.0008648242150780222
R	safe	0.0004857441044544122
,	!!!!	0.005962059620596206
V	became	0.0001462985627629194
N	mayor	0.0001625234033700853
^	off	0.0003554468678022009
^	5th	0.0003554468678022009
